Hauptkraftwerk;;;;;;;;Wehr 1;;;;Wehr 2;;;;Wehr 3;;;;Wehr4;;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1;Durchfluss M2;Durchfluss Grundabl.;Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Pegel H. G. (NullPegel 263,00 m.Å.M);Durchfluss Heiderscheider Grund (m3/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
314,84;0;0;0;0;0;0;276,09;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,91;1,1;0;0;1,1;0;27;0,597;0;0;51,55;0,685140883;0;;
314,83;0;0;0;0;0;0;276,08;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,9;1,1;0;0;1,1;0;27;0,597;0;0;51,55;0,685140883;0;;
314,83;0;0;0;0;0;0;276,08;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,89;1,1;0;0;1,1;0;27;0,597;0;0;45,98;0,611111111;0;;
314,84;0;0;0;0;0;0;276,08;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,89;1,1;0;0;1,1;0;27;0,597;0;0;45,98;0,611111111;0;;
314,83;0;0;0;0;0;0;276,08;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,88;1,1;0;0;1,1;0;27;0,597;0;0;45,98;0,611111111;0;;
314,84;0;0;0;0;0;0;276,07;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,88;1,1;0;0;1,1;0;27;0,597;0;0;45,98;0,611111111;0;;
314,84;0;0;0;0;0;0;276,07;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,87;1,1;0;0;1,1;0;27;0,597;0;0;43,94;0,583997873;0;;
314,84;0;0;0;0;0;0;276,07;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,87;1,1;0;0;1,1;0;27;0,597;0;0;43,94;0,583997873;0;;
314,84;0;0;0;0;0;0;276,07;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,86;1,1;0;0;1,1;0;27;0,597;0;0;43,94;0,583997873;0;;
314,84;0;0;0;0;0;0;276,07;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,85;1,1;0;0;1,1;0;27;0,597;0;0;43,94;0,583997873;0;;
314,84;0;0;0;0;0;0;276,07;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,85;1,1;0;0;1,1;0;27;0,597;0;0;38,05;0,505715045;0;;
314,83;0;0;0;0;0;0;276,06;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,84;1,1;0;0;1,1;0;27;0,597;0;0;38,05;0,505715045;0;;
314,84;0;0;0;0;0;0;276,06;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,84;1,1;0;0;1,1;0;27;0,597;0;0;38,05;0,505715045;0;;
314,84;0;0;0;0;0;0;276,06;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,83;1,1;0;0;1,1;0;27;0,597;0;0;38,05;0,505715045;0;;
314,83;0;0;0;0;0;0;276,06;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,83;1;0;0;1;0;27;0,597;0;0;34,61;0,459994684;0;;
314,83;0;0;0;0;0;0;276,06;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,82;1;0;0;1;0;27;0,597;0;0;34,61;0,459994684;0;;
314,84;0;0;0;0;0;0;276,06;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,82;1;0;0;1;0;27;0,597;0;0;34,61;0,459994684;0;;
314,83;0;0;0;0;0;0;276,05;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,81;1;0;0;1;0;27;0,597;0;0;34,61;0,459994684;0;;
